"6xx_def"
"Size","d1","D2","B","B1","d1inside","D2inside","Ds","dBall","nBall","rClip","gap"
"604",4.0,12.0,4.0,4.0, 6.15, 8.95,0.20,2.000,7,0.3,0.1
"605",5.0,14.0,5.0,5.0, 7.79,11.28,0.20,2.381,7,0.3,0.1
"606",6.0,17.0,6.0,6.0, 8.92,13.75,0.30,3.500,6,0.3,0.1
"607",7.0,19.0,6.0,6.0,10.12,15.02,0.30,3.500,6,0.3,0.1
"608",8.0,22.0,7.0,7.0,12.14,18.00,0.30,3.969,7,0.3,0.1
"609",9.0,24.0,7.0,7.0,13.85,19.46,0.30,3.969,7,0.3,0.1
"623",3.0,10.0,4.0,4.0, 4.80, 7.08,0.15,1.588,7,0.3,0.1
"624",4.0,13.0,5.0,5.0, 6.95,10.45,0.20,2.381,7,0.3,0.1
"625",5.0,16.0,5.0,5.0, 8.55,12.50,0.30,2.778,7,0.3,0.1
"626",6.0,19.0,6.0,6.0,10.12,15.02,0.30,3.500,6,0.3,0.1
"627",7.0,22.0,7.0,7.0,12.14,18.00,0.30,3.969,7,0.3,0.1
"628",8.0,24.0,8.0,8.0,12.80,18.70,0.30,3.969,7,0.3,0.1
"629",9.0,26.0,8.0,8.0,14.50,21.30,0.30,4.762,7,0.3,0.1
"634",4.0,16.0,5.0,5.0, 8.20,11.70,0.30,2.381,7,0.3,0.1
"635",5.0,19.0,6.0,6.0,10.12,15.02,0.30,3.500,6,0.3,0.1
