"AXK_def"
"Size","d1","D2","B","Ea","Eb","dNeedle","nNeedle"
"AXK0414",    4, 14,1.25,  5, 13,2,7
"AXK0515",    5, 15,1.25,  6, 14,2,8
"AXK0619",    6, 19,1.25,  7, 18,2,8
"AXK0821",    8, 21,1.25,  9, 20,2,10
"AXK1024",   10, 24,1.25, 12, 23,2,14
"AXK1226",   12, 26,1.25, 14, 25,2,16
"AXK1528",   15, 28,1.25, 17, 27,2,20
"AXK1730",   17, 30,1.25, 19, 29,2,22
"AXK2035",   20, 35,1.25, 22, 34,2,24
"AXK2542",   25, 42,1.25, 29, 41,2,30
"AXK3047",   30, 47,1.25, 34, 46,2,36
"AXK3552",   35, 52,1.25, 39, 51,2,42
"AXK4060",   40, 60,1.88, 45, 58,3,32
"AXK4565",   45, 65,1.88, 50, 63,3,36
"AXK5070",   50, 70,1.88, 55, 68,3,40
"AXK5578",   55, 78,1.88, 60, 76,3,44
"AXK6085",   60, 85,1.88, 65, 83,3,48
"AXK6590",   65, 90,1.88, 70, 88,3,52
"AXK7095",   70, 95,2.50, 74, 93,4,40
"AXK75100",  75,100,2.50, 79, 98,4,42
"AXK80105",  80,105,2.50, 84,103,4,44
"AXK85110",  85,110,2.50, 89,108,4,46
"AXK90120",  90,120,2.50, 94,118,4,50
"AXK100135",100,135,2.50,104,133,4,54
"AXK110145",110,145,2.50,115,143,4,60
"AXK120155",120,155,2.50,125,153,4,66
"AXK130170",130,170,3.12,136,167,5,58
"AXK140180",140,180,3.12,146,177,5,62
"AXK150190",150,190,3,12,156,187,5,66
"AXK160200",160,200,3.12,166,197,5,70
