"AXK_washerDef"
"Size","d1","D","D1","B","r1"
"AXK0414",    0, 14,  0,0.00,0.0
"AXK0515",    0, 15,  0,0.00,0.0
"AXK0619",    0, 19,  0,2.75,0.3
"AXK0821",    0, 21,  0,2.75,0.3
"AXK1024",    0, 24,  0,2.75,0.3
"AXK1226",    0, 26,  0,2.75,0.3
"AXK1528",   28, 28, 16,2.75,0.3
"AXK1730",   30, 30, 18,2.75,0.3
"AXK2035",   35, 35, 21,2.75,0.3
"AXK2542",   42, 42, 26,3.00,0.6
"AXK3047",   47, 47, 32,3.00,0.6
"AXK3552",   52, 52, 37,3.50,0.6
"AXK4060",   60, 60, 42,3.50,0.6
"AXK4565",   65, 65, 47,4.00,0.6
"AXK5070",   70, 70, 52,4.00,0.6
"AXK5578",   78, 78, 57,5.00,0.6
"AXK6085",   85, 85, 62,4.75,1.0
"AXK6590",   90, 90, 67,5.25,1.0
"AXK7095",   95, 95, 72,5.25,1.0
"AXK75100", 100,100, 78,5.75,1.0
"AXK80105", 105,105, 82,5.75,1.0
"AXK85110", 110,110, 87,5.75,1.0
"AXK90120", 120,120, 92,6.50,1.0
"AXK100135",135,135,102,7.00,1.0
"AXK110145",145,145,112,7.00,1.0
"AXK120155",155,155,122,7.00,1.0
"AXK130170",170,170,132,9.00,1.0
"AXK140180",178,180,142,9.50,1.0
"AXK150190",188,190,152,9.50,1.0
"AXK160200",198,200,162,9.50,1.0


"AXK_bottomWasher"
"AXK_topWasher"
"Size","Type","..."
"AXK0414",  "-","AS"
"AXK0515",  "-","AS"
"AXK0619",  "-","AS","LS"
"AXK0821",  "-","AS","LS"
"AXK1024",  "-","AS","LS"
"AXK1226",  "-","AS","LS"
"AXK1528",  "-","AS","LS","WS811","GS811"
"AXK1730",  "-","AS","LS","WS811","GS811"
"AXK2035",  "-","AS","LS","WS811","GS811"
"AXK2542",  "-","AS","LS","WS811","GS811"
"AXK3047",  "-","AS","LS","WS811","GS811"
"AXK3552",  "-","AS","LS","WS811","GS811"
"AXK4060",  "-","AS","LS","WS811","GS811"
"AXK4565",  "-","AS","LS","WS811","GS811"
"AXK5070",  "-","AS","LS","WS811","GS811"
"AXK5578",  "-","AS","LS","WS811","GS811"
"AXK6085",  "-","AS","LS","WS811","GS811"
"AXK6590",  "-","AS","LS","WS811","GS811"
"AXK7095",  "-","AS","LS","WS811","GS811"
"AXK75100", "-","AS","LS","WS811","GS811"
"AXK80105", "-","AS","LS","WS811","GS811"
"AXK85110", "-","AS","LS","WS811","GS811"
"AXK90120", "-","AS","LS","WS811","GS811"
"AXK100135","-","AS","LS","WS811","GS811"
"AXK110145","-","AS","LS","WS811","GS811"
"AXK120155","-","AS","LS","WS811","GS811"
"AXK130170","-","AS","LS","WS811","GS811"
"AXK140180","-","AS","LS","WS811","GS811"
"AXK150190","-","AS","LS","WS811","GS811"
"AXK160200","-","AS","LS","WS811","GS811"
