"GExxC_def"
"Size","d1","D2","B1","C1","dk","r1","r2"
"GE4C",   4,12, 5, 3, 8.0,0.3,0.3
"GE5C",   5,14, 6, 4,10.0,0.3,0.3
"GE6C",   6,14, 6, 4,10.0,0.3,0.3
"GE8C",   8,16, 8, 5,13.0,0.3,0.3
"GE10C", 10,19, 9, 6,16.0,0.3,0.3
"GEH10C",10,22,12, 7,18.0,0.3,0.3
"GE12C", 12,22,10, 7,18.0,0.3,0.3
"GEH12C",12,26,15, 9,22.0,0.3,0.3
"GE15C", 15,26,12, 9,22.0,0.3,0.3
"GEH15C",15,30,16,10,25.0,0.3,0.3
"GE17C", 17,30,14,10,25.0,0.3,0.3
"GEH17C",17,35,20,12,29.0,0.3,0.3
"GE20C", 20,35,16,12,29.0,0.3,0.3
"GEH20C",20,42,25,16,35.5,0.3,0.6
"GE25C", 25,42,20,16,35.5,0.6,0.6
"GEH25C",25,47,28,18,40.7,0.6,0.6
"GE30C", 30,47,22,18,40.7,0.6,0.6
