"LMxUU_def"
"Size","dr","D","L","B","D1","W", "a", "b"
"LM3",    3.0, 7.0, 10.0, 0.0, 0.0,0.0, 0.3,0.3
"LM4",    4.0, 8.0, 12.0, 0.0, 0.0,0.0, 0.3,0.3
"LM5UU",  5.0,10.0, 15.0,10.2, 9.6,1.1, 0.4,0.4
"LM6UU",  6.0,12.0, 19.0,13.5,11.5,1.1, 0.5,0.5
"LM8UU",  8.0,15.0, 24.0,17.5,14.3,1.1, 0.5,0.5
"LM10UU",10.0,19.0, 29.0,22.0,18.0,1.3, 0.5,0.5
"LM12UU",12.0,21.0, 30.0,23.0,20.0,1.3, 0.5,0.5
"LM13UU",13.0,23.0, 32.0,23.0,22.0,1.3, 0.5,0.5
"LM16UU",16.0,28.0, 37.0,26.5,27.0,1.6, 0.8,0.5
"LM20UU",20.0,32.0, 42.0,30.5,30.5,1.6, 0.8,0.5
"LM25UU",25.0,40.0, 59.0,41.0,38.0,1.85,0.8,0.5
"LM30UU",30.0,45.0, 64.0,44.5,43.0,1.85,1.0,0.5
"LM35UU",35.0,52.0, 70.0,49.5,49.0,2.1, 1.0,0.5
"LM40UU",40.0,60.0, 80.0,60.5,57.0,2.1, 1.0,0.5
"LM50UU",50.0,80.0,100.0,74.0,76.5,2.6, 1.0,0.5
"LM60UU",60.0,90.0,110.0,85.0,86.5,3.15,1.0,0.5
