"MRxxx_def"
"Size","d1","D2","B","B1","d1inside","D2inside","Ds","dBall","nBall","rClip","gap"
"MR31", 1.0, 3.0,1.5,0.0,1.6 , 2.4 ,0.05,0.500, 7,0.0,0.0
"MR52", 2.0, 5.0,2.0,2.5,2.7 , 3.9 ,0.08,0.800, 7,0.2,0.1
"MR62", 2.0, 6.0,2.0,2.5,3.0 , 4.8 ,0.15,1.200, 6,0.3,0.1
"MR63", 3.0, 6.0,2.0,2.5,3.7 , 4.9 ,0.08,0.800, 8,0.2,0.1
"MR72", 2.0, 7.0,2.5,3.0,3.85, 5.65,0.15,1.200, 7,0.3,0.1
"MR74", 4.0, 7.0,2.0,2.5,4.75, 6.25,0.08,1.000, 8,0.2,0.1
"MR83", 3.0, 8.0,3.0,4.0,4.35, 6.65,0.15,1.588, 6,0.3,0.1
"MR84", 4.0, 8.0,2.0,3.0,5.0 , 6.8 ,0.08,1.200, 7,0.3,0.1
"MR85", 5.0, 8.0,2.0,2.5,5.8 , 7.0 ,0.08,0.800, 9,0.2,0.1
"MR93", 3.0, 9.0,2.5,4.0,4.85, 7.2 ,0.15,1.588, 6,0.3,0.1
"MR95", 5.0, 9.0,2.5,3.0,6.0 , 7.8 ,0.10,1.200, 8,0.3,0.1
"MR104",4.0,10.0,2.0,4.0,5.9 , 8.2 ,0.10,1.588, 8,0.3,0.1
"MR105",5.0,10.0,3.0,4.0,6.6 , 8.4 ,0.10,1.200, 8,0.3,0.1
"MR106",6.0,10.0,2.5,3.0,7.05, 8.9 ,0.10,1.200,10,0.3,0.1
"MR115",5.0,11.0,0.0,4.0,6.2 , 9.9 ,0.15,1.588, 8,0.3,0.1
"MR117",7.0,11.0,2.5,3.0,8.05, 9.95,0.10,1.200, 9,0.3,0.1
"MR126",6.0,12.0,3.0,4.0,7.75,10.2 ,0.10,1.588, 8,0.3,0.1
"MR128",8.0,12.0,2.5,3.5,9.05,10.95,0.10,1.200,12,0.3,0.1
"MR137",7.0,13.0,3.0,4.0,9.35,11.15,0.15,1.200,12,0.3,0.1
"MR148",8.0,14.0,3.5,4.0,9.85,12.2 ,0.15,1.588,10,0.3,0.1
