"MRxxx_shield"
"Size","shType","..."
"MR31","-"
"MR52","-","Z","2Z","RS","2RS"
"MR62","-","Z","2Z","RS","2RS"
"MR63","-","Z","2Z","RS","2RS"
"MR72","-","Z","2Z","RS","2RS"
"MR74","-","Z","2Z","RS","2RS"
"MR83","-","Z","2Z","RS","2RS"
"MR84","-","Z","2Z","RS","2RS"
"MR85","-","Z","2Z","RS","2RS"
"MR93","-","Z","2Z","RS","2RS"
"MR95","-","Z","2Z","RS","2RS"
"MR104","-","Z","2Z","RS","2RS"
"MR105","-","Z","2Z","RS","2RS"
"MR106","-","Z","2Z","RS","2RS"
"MR115","-","Z","2Z","RS","2RS"
"MR117","-","Z","2Z","RS","2RS"
"MR126","-","Z","2Z","RS","2RS"
"MR128","-","Z","2Z","RS","2RS"
"MR137","-","Z","2Z","RS","2RS"
"MR148","-","Z","2Z","RS","2RS"
